horizon_sessions,model,target,mean_rank_ic,rank_ic_ir,positive_year_rate,top_decile_target,bottom_decile_target,top_bottom_spread,test_year_count,rebalance_count,observation_count
5,基础回撤模型,未来最大回撤风险,0.1775495510508463,7.443699087581222,1.0,0.040762306225114446,0.019351595920760915,0.021410710304353524,4,170,52700
5,增强回撤模型,未来最大回撤风险,0.17553225129039857,6.929127038651839,1.0,0.04011604357559899,0.019088997372295816,0.021027046203303174,4,170,52700
5,收益模型,未来收益,0.01997986229186262,0.9383164775268076,1.0,0.0029395404107163477,0.001476626727580831,0.0014629136831355162,4,170,52700
20,基础回撤模型,未来最大回撤风险,0.2540381072468847,22.093262945573475,1.0,0.10122689399456675,0.051626654218196934,0.04960023977636982,4,42,13020
20,增强回撤模型,未来最大回撤风险,0.25197845240204897,18.98442749678311,1.0,0.10135962229859949,0.05013313745458223,0.05122648484401727,4,42,13020
20,收益模型,未来收益,0.005799705902344458,0.19712851740794407,0.5,0.012035807079776285,0.007519403550581114,0.004516403529195166,4,42,13020
60,基础回撤模型,未来最大回撤风险,0.2771378683882634,3.0673944566995677,1.0,0.1850021864074422,0.10254202268182509,0.08246016372561707,4,13,4030
60,增强回撤模型,未来最大回撤风险,0.27349605896833057,3.188956436963753,1.0,0.1865068909057883,0.10207406964827986,0.08443282125750842,4,13,4030
60,收益模型,未来收益,0.01664251153809047,0.7937557453782771,1.0,-0.006985341841801488,0.00048746484100507055,-0.007472806682806558,4,13,4030
120,基础回撤模型,未来最大回撤风险,0.3209952811129128,10.991150198269606,1.0,0.25903678694250315,0.1567534900886645,0.10228329685383869,3,6,1860
120,增强回撤模型,未来最大回撤风险,0.3215163815581668,14.713482271268113,1.0,0.2600395760812029,0.15166213946409543,0.10837743661710743,3,6,1860
120,收益模型,未来收益,-0.05151492669023674,-0.49808823825545745,0.3333333333333333,0.022653135673039254,0.08102582131273835,-0.058372685639699086,3,6,1860
