horizon_sessions,test_year,model,target,mean_rank_ic,rank_ic_ir,positive_ic_rate,top_decile_target,bottom_decile_target,top_bottom_spread,rebalance_count,observation_count
5,2023,收益模型,未来收益,0.017771459991271093,0.20247341477906355,0.6458333333333334,0.0023002654093229056,-0.00040008349005077933,0.0027003488993736853,48,14880
5,2023,回撤模型,未来最大回撤风险,0.1624863107315878,1.1729158884717408,0.875,0.034506800392764575,0.016224909123499453,0.018281891269265115,48,14880
5,2024,收益模型,未来收益,0.008987499306929514,0.09487070704590563,0.5714285714285714,-0.0010564607208121384,-0.001801397630662451,0.0007449369098503126,49,15190
5,2024,回撤模型,未来最大回撤风险,0.15619500438504624,1.0375800586229,0.8571428571428571,0.04575289129078316,0.026517941700935268,0.01923494958984788,49,15190
5,2025,收益模型,未来收益,0.043744574320243014,0.4972719682192975,0.7083333333333334,0.010216500794280521,0.0063959511336421195,0.0038205496606384024,48,14880
5,2025,回撤模型,未来最大回撤风险,0.20412380019343335,1.4564651215520104,0.9166666666666666,0.03544436233546904,0.012936017512294099,0.02250834482317494,48,14880
5,2026,收益模型,未来收益,0.00013677906497689101,0.0014246527070508816,0.48,-0.0019726533052556255,0.0020597352279526815,-0.00403238853320831,25,7750
5,2026,回撤模型,未来最大回撤风险,0.19730332557502347,1.3002913224418815,0.92,0.0532017829626347,0.02362670738661748,0.02957507557601722,25,7750
20,2023,收益模型,未来收益,-0.017096018566569293,-0.13592418205652138,0.4166666666666667,-0.006128832452551795,-0.007366111880303234,0.0012372794277514382,12,3720
20,2023,回撤模型,未来最大回撤风险,0.24610779974112704,1.8090938856844037,1.0,0.09579279178893486,0.04617339348880006,0.049619398300134794,12,3720
20,2024,收益模型,未来收益,-0.016689623296276695,-0.2371957644177942,0.5,0.004128141067312648,0.0038060108876338886,0.0003221301796787589,12,3720
20,2024,回撤模型,未来最大回撤风险,0.24445287878970076,1.7286409670877814,1.0,0.11429016933470339,0.070181554846902,0.04410861448780138,12,3720
20,2025,收益模型,未来收益,0.04961844196337026,0.6268464443696136,0.6666666666666666,0.0472829736977764,0.038925692087334186,0.0083572816104422,12,3720
20,2025,回撤模型,未来最大回撤风险,0.2670457150034153,2.898518828827338,1.0,0.07951903326927871,0.032114245864424636,0.04740478740485407,12,3720
20,2026,收益模型,未来收益,0.008932341115362665,0.1798864303087911,0.6666666666666666,-0.006313915066640516,-0.01809535733526189,0.011781442268621373,6,1860
20,2026,回撤模型,未来最大回撤风险,0.2630539636597067,7.3320699043774376,1.0,0.1293842691761333,0.06444819112712503,0.06493607804900826,6,1860
60,2023,收益模型,未来收益,0.0010120601163051773,0.011639274702324443,0.5,-0.05307102413583168,-0.03187205258115272,-0.02119897155467896,4,1240
60,2023,回撤模型,未来最大回撤风险,0.18962389788949824,0.9919910482833744,0.75,0.18935104821652182,0.13581955853376032,0.05353148968276152,4,1240
60,2024,收益模型,未来收益,0.013559609237638017,0.12617481817794388,0.75,0.025675262597604828,0.028314680911059084,-0.00263941831345426,4,1240
60,2024,回撤模型,未来最大回撤风险,0.2902250512430275,1.875972499560551,1.0,0.1808897259339605,0.09370370320926577,0.08718602272469472,4,1240
60,2025,收益模型,未来收益,0.03893821924211718,0.6350367275475749,0.75,0.0386826807198377,0.0537519080845923,-0.015069227364754594,4,1240
60,2025,回撤模型,未来最大回撤风险,0.37117278161929,6.145886342293145,1.0,0.1716660391287314,0.061939758927933,0.10972628020079842,4,1240
60,2026,收益模型,未来收益,0.002313095610934633,,1.0,-0.13595712066986274,-0.19444110272492873,0.058483982055066,1,310
60,2026,回撤模型,未来最大回撤风险,0.19870536604016087,,1.0,0.2374011701798934,0.16719421217989,0.0702069580000034,1,310
120,2023,收益模型,未来收益,-0.03198646003317777,-1.6001806643736474,0.0,-0.03539381724961381,-0.03579854624780952,0.0004047289981957136,2,620
120,2023,回撤模型,未来最大回撤风险,0.30694013323624636,9.433028332234706,1.0,0.29745975616531,0.20504873125523532,0.09241102491007468,2,620
120,2024,收益模型,未来收益,-0.1633123528050951,-1.1802110195051134,0.0,0.07439847800253963,0.2845527281206016,-0.210154250118062,2,620
120,2024,回撤模型,未来最大回撤风险,0.35457026434815675,2.9411483121724946,1.0,0.24633716027085828,0.14819162910295725,0.09814553116790103,2,620
120,2025,收益模型,未来收益,0.04075403276756264,0.4003669000220533,0.5,0.028954746266191947,-0.005676717934577052,0.034631464200769,2,620
120,2025,回撤模型,未来最大回撤风险,0.3014754457543354,1.5895572196962549,1.0,0.23331344439134127,0.11702010990780094,0.11629333448354033,2,620
