healthcare_benchmark,horizon_sessions,model,market_regime,mean_rank_ic,positive_ic_rate,top_bottom_spread,spread_win_rate,rebalance_count
动态申万成分等权,5,4. 交互项+残差动量+Beta变化,医疗独立行情,0.10910530447830946,0.8076923076923077,0.007105835735519783,0.5384615384615384,26
动态申万成分等权,5,4. 交互项+残差动量+Beta变化,大盘独涨,0.0795028302189609,0.6129032258064516,0.005588632743186401,0.6129032258064516,31
动态申万成分等权,5,4. 交互项+残差动量+Beta变化,防御/修复,0.07361548400083387,0.6805555555555556,0.007481640047268415,0.625,72
动态申万成分等权,5,4. 交互项+残差动量+Beta变化,风险偏好,0.07695709523980668,0.7073170731707317,0.0016243943326463548,0.5853658536585366,41
动态申万成分等权,20,4. 交互项+残差动量+Beta变化,医疗独立行情,0.14743075312859874,0.8333333333333334,0.03187852803877735,0.8333333333333334,6
动态申万成分等权,20,4. 交互项+残差动量+Beta变化,大盘独涨,0.15827501913883446,0.7142857142857143,0.026151209655606272,0.7142857142857143,7
动态申万成分等权,20,4. 交互项+残差动量+Beta变化,防御/修复,0.13163130483035396,0.6842105263157895,0.03772158817960474,0.6842105263157895,19
动态申万成分等权,20,4. 交互项+残差动量+Beta变化,风险偏好,0.011937746184097047,0.6,-0.01731373495026691,0.4,10
中证申万医药生物指数,5,1. 趋势基线,医疗独立行情,0.04908584809957595,0.5833333333333334,-0.001060219118192713,0.5,12
中证申万医药生物指数,5,1. 趋势基线,大盘独涨,0.012029884196734938,0.5,-0.0007381300821116063,0.4411764705882353,34
中证申万医药生物指数,5,1. 趋势基线,防御/修复,0.057822416179924264,0.5697674418604651,0.0080820961500823,0.5930232558139535,86
中证申万医药生物指数,5,1. 趋势基线,风险偏好,0.09223327452896753,0.6578947368421053,0.003032645814236553,0.5526315789473685,38
中证申万医药生物指数,5,2. 指数状态+双Beta,医疗独立行情,0.08614662231655894,0.75,0.007393610102758523,0.75,12
中证申万医药生物指数,5,2. 指数状态+双Beta,大盘独涨,0.009748071563263853,0.5882352941176471,-0.0034594184557362414,0.5,34
中证申万医药生物指数,5,2. 指数状态+双Beta,防御/修复,0.014688684677754563,0.5116279069767442,0.00035278907291298424,0.5581395348837209,86
中证申万医药生物指数,5,2. 指数状态+双Beta,风险偏好,0.05968074707756592,0.6578947368421053,0.005245467111163375,0.631578947368421,38
中证申万医药生物指数,5,3. 状态+双Beta+交互项,医疗独立行情,0.08300818814139616,0.6666666666666666,0.006543068179743587,0.5833333333333334,12
中证申万医药生物指数,5,3. 状态+双Beta+交互项,大盘独涨,0.058712850792441165,0.5882352941176471,0.007074030234885679,0.6176470588235294,34
中证申万医药生物指数,5,3. 状态+双Beta+交互项,防御/修复,0.008284650036729497,0.5581395348837209,-0.0022499123332928674,0.5116279069767442,86
中证申万医药生物指数,5,3. 状态+双Beta+交互项,风险偏好,0.05596824191246369,0.631578947368421,0.004746494436087184,0.5263157894736842,38
中证申万医药生物指数,5,4. 交互项+残差动量+Beta变化,医疗独立行情,0.09392707646467292,0.75,0.0038995199771607665,0.5,12
中证申万医药生物指数,5,4. 交互项+残差动量+Beta变化,大盘独涨,0.06894316396516373,0.6176470588235294,0.0015317271265488524,0.5294117647058824,34
中证申万医药生物指数,5,4. 交互项+残差动量+Beta变化,防御/修复,0.047462540948578436,0.6162790697674418,0.0034086896317136015,0.5930232558139535,86
中证申万医药生物指数,5,4. 交互项+残差动量+Beta变化,风险偏好,0.05973303787827198,0.631578947368421,-0.0009861474917039013,0.5789473684210527,38
中证申万医药生物指数,20,1. 趋势基线,医疗独立行情,0.019141416607163796,0.6666666666666666,0.0004288933483559687,0.6666666666666666,3
中证申万医药生物指数,20,1. 趋势基线,大盘独涨,-0.06084983021348039,0.2857142857142857,-0.04249215643603047,0.0,7
中证申万医药生物指数,20,1. 趋势基线,防御/修复,0.08637537456574879,0.5909090909090909,0.033769491555695016,0.6363636363636364,22
中证申万医药生物指数,20,1. 趋势基线,风险偏好,-0.005148412390527379,0.7,-0.027684965620995892,0.3,10
中证申万医药生物指数,20,2. 指数状态+双Beta,医疗独立行情,0.016428654240956797,0.6666666666666666,0.0038324770273215555,0.6666666666666666,3
中证申万医药生物指数,20,2. 指数状态+双Beta,大盘独涨,0.07601679490651107,0.5714285714285714,0.023094272983452686,0.5714285714285714,7
中证申万医药生物指数,20,2. 指数状态+双Beta,防御/修复,0.05160682271251389,0.6363636363636364,0.007381316165431334,0.6363636363636364,22
中证申万医药生物指数,20,2. 指数状态+双Beta,风险偏好,0.012929576143674173,0.4,-0.009031130529992208,0.4,10
中证申万医药生物指数,20,3. 状态+双Beta+交互项,医疗独立行情,0.005972662378176372,0.6666666666666666,-0.003767052669741465,0.6666666666666666,3
中证申万医药生物指数,20,3. 状态+双Beta+交互项,大盘独涨,0.09286445373549944,0.5714285714285714,0.023904782168761095,0.5714285714285714,7
中证申万医药生物指数,20,3. 状态+双Beta+交互项,防御/修复,0.013077927975820886,0.5,-0.006378939865098196,0.5,22
中证申万医药生物指数,20,3. 状态+双Beta+交互项,风险偏好,0.07921910225803838,0.7,0.008400234528007691,0.6,10
中证申万医药生物指数,20,4. 交互项+残差动量+Beta变化,医疗独立行情,0.024000873773418488,0.6666666666666666,0.0014369991565645855,0.6666666666666666,3
中证申万医药生物指数,20,4. 交互项+残差动量+Beta变化,大盘独涨,0.02393324138457112,0.5714285714285714,-0.0023159070550749167,0.42857142857142855,7
中证申万医药生物指数,20,4. 交互项+残差动量+Beta变化,防御/修复,0.07282188303532672,0.5909090909090909,0.005735425207451456,0.6818181818181818,22
中证申万医药生物指数,20,4. 交互项+残差动量+Beta变化,风险偏好,0.07269383294085174,0.7,0.0008908662720193264,0.7,10
中证全指医药卫生ETF,5,4. 交互项+残差动量+Beta变化,医疗独立行情,0.11032127682165169,0.7692307692307693,0.007625417662249078,0.5384615384615384,13
中证全指医药卫生ETF,5,4. 交互项+残差动量+Beta变化,大盘独涨,0.08305608013400513,0.6470588235294118,-0.0010571885762280932,0.5,34
中证全指医药卫生ETF,5,4. 交互项+残差动量+Beta变化,防御/修复,0.03795141316169299,0.6,0.0005308238182907511,0.5294117647058824,85
中证全指医药卫生ETF,5,4. 交互项+残差动量+Beta变化,风险偏好,0.06874997549067494,0.631578947368421,-0.00164727133727262,0.5263157894736842,38
中证全指医药卫生ETF,20,4. 交互项+残差动量+Beta变化,医疗独立行情,0.12930437934184374,0.75,0.023577878786069595,0.5,4
中证全指医药卫生ETF,20,4. 交互项+残差动量+Beta变化,大盘独涨,0.01962950690136193,0.7142857142857143,-0.020628747106798156,0.2857142857142857,7
中证全指医药卫生ETF,20,4. 交互项+残差动量+Beta变化,防御/修复,0.03676407709382768,0.6190476190476191,-0.0007216875551028975,0.5714285714285714,21
中证全指医药卫生ETF,20,4. 交互项+残差动量+Beta变化,风险偏好,0.044928496866638856,0.7,-0.01673408884043015,0.5,10
