healthcare_benchmark,horizon_sessions,model,mean_rank_ic,rank_ic_std,positive_ic_rate,top_decile_relative_return,bottom_decile_relative_return,top_bottom_spread,spread_win_rate,rebalance_count,average_stock_count,rank_ic_t_stat
动态申万成分等权,5,4. 交互项+残差动量+Beta变化,0.08092283180068204,0.18814960690271523,0.6941176470588235,0.002029356302481998,-0.00363698249283635,0.005666338795318348,0.6,170,450.74117647058824,5.607796140478703
动态申万成分等权,20,4. 交互项+残差动量+Beta变化,0.10983052158002689,0.2045804816972738,0.6904761904761905,0.0071325892879569456,-0.014722231229465175,0.02185482051742212,0.6428571428571429,42,449.7142857142857,3.479232843846257
中证申万医药生物指数,5,1. 趋势基线,0.05573904978504795,0.18580139944745763,0.5764705882352941,0.0027753496898871846,-0.0017686606491596369,0.004544010339046821,0.5470588235294118,170,450.74117647058824,3.9114253014563816
中证申万医药生物指数,5,2. 指数状态+双Beta,0.028801701012847503,0.2043275549807168,0.5764705882352941,0.0015369024541608627,0.00035589831161501027,0.0011810041425458525,0.5764705882352941,170,450.74117647058824,1.837873688006525
中证申万医药生物指数,5,3. 状态+双Beta+交互项,0.03430357812042418,0.21395064500015407,0.5882352941176471,0.002215696199503869,0.0004162363521440896,0.0017994598473597793,0.5411764705882353,170,450.74117647058824,2.0905005356685438
中证申万医药生物指数,5,4. 交互项+残差动量+Beta变化,0.05778133207849249,0.22126258987173117,0.6294117647058823,0.0016326895992322223,-0.0004528790223631406,0.0020855686215953623,0.5705882352941176,170,450.74117647058824,3.404897314817587
中证申万医药生物指数,20,1. 趋势基线,0.035244037020674475,0.19488408060386825,0.5714285714285714,0.008085614109876727,0.004039882133491346,0.00404573197638538,0.4523809523809524,42,449.7142857142857,1.1720170492547903
中证申万医药生物指数,20,2. 指数状态+双Beta,0.04395355686144037,0.19466685199889472,0.5714285714285714,0.009160574177490301,0.003321645789259333,0.005838928388230971,0.5714285714285714,42,449.7142857142857,1.463277398626336
中证申万医药生物指数,20,3. 状态+双Beta+交互项,0.041616061936463535,0.18363589077980083,0.5714285714285714,0.00848980465100441,0.0061160430933848865,0.002373761557619522,0.5476190476190477,42,449.7142857142857,1.4686829745199659
中证申万医药生物指数,20,4. 交互项+残差动量+Beta变化,0.061156073028522814,0.1951578729678281,0.6190476190476191,0.00924644061108825,0.006313400959462188,0.002933039651626062,0.6428571428571429,42,449.7142857142857,2.0308514609404837
中证全指医药卫生ETF,5,4. 交互项+残差动量+Beta变化,0.05939089712133646,0.21394711617785628,0.6294117647058823,0.000876236303417238,0.0006073555283829014,0.0002688807750343359,0.5235294117647059,170,450.74117647058824,3.6194110608033836
中证全指医药卫生ETF,20,4. 交互项+残差动量+Beta变化,0.04466558698365901,0.1848276715026521,0.6666666666666666,0.00010529891953743961,0.005643061816317702,-0.005537762896780263,0.5,42,449.7142857142857,1.5661404216690669
