healthcare_benchmark,horizon_sessions,model,test_year,mean_rank_ic,positive_ic_rate,top_bottom_spread,spread_win_rate,rebalance_count
动态申万成分等权,5,4. 交互项+残差动量+Beta变化,2023,0.09594884028181021,0.8125,0.007249385133085377,0.6458333333333334,48
动态申万成分等权,5,4. 交互项+残差动量+Beta变化,2024,0.07882785873599613,0.6326530612244898,0.006130925015847117,0.6122448979591837,49
动态申万成分等权,5,4. 交互项+残差动量+Beta变化,2025,0.07791561863166409,0.6666666666666666,0.002849166290096216,0.5416666666666666,48
动态申万成分等权,5,4. 交互项+残差动量+Beta变化,2026,0.06195289200821479,0.64,0.007125272044595763,0.6,25
动态申万成分等权,20,4. 交互项+残差动量+Beta变化,2023,0.1553342206454316,0.6666666666666666,0.03184255850192943,0.6666666666666666,12
动态申万成分等权,20,4. 交互项+残差动量+Beta变化,2024,0.1269694808420667,0.6666666666666666,0.024067504615784403,0.6666666666666666,12
动态申万成分等权,20,4. 交互项+残差动量+Beta变化,2025,0.07996876998003986,0.6666666666666666,0.015485910336872105,0.6666666666666666,12
动态申万成分等权,20,4. 交互项+残差动量+Beta变化,2026,0.044268708125111876,0.8333333333333334,0.010191796712782952,0.5,6
中证申万医药生物指数,5,1. 趋势基线,2023,0.022113863568062747,0.5833333333333334,-0.0009175533497731581,0.5416666666666666,48
中证申万医药生物指数,5,1. 趋势基线,2024,0.059909144123429944,0.46938775510204084,0.012423984099805607,0.5102040816326531,49
中证申万医药生物指数,5,1. 趋势基线,2025,0.09114986429339215,0.6666666666666666,0.004234726559285588,0.6041666666666666,48
中证申万医药生物指数,5,1. 趋势基线,2026,0.044137258562409985,0.6,0.00017928890763552974,0.52,25
中证申万医药生物指数,5,2. 指数状态+双Beta,2023,0.027098053713572406,0.625,-0.000970603334129432,0.5833333333333334,48
中证申万医药生物指数,5,2. 指数状态+双Beta,2024,0.044301052089818715,0.5714285714285714,0.006401616877778437,0.6122448979591837,49
中证申万医药生物指数,5,2. 指数状态+双Beta,2025,0.02046033400544258,0.5416666666666666,-0.001576751422452512,0.5208333333333334,48
中证申万医药生物指数,5,2. 指数状态+双Beta,2026,0.01770940037080957,0.56,0.0003745802215033933,0.6,25
中证申万医药生物指数,5,3. 状态+双Beta+交互项,2023,0.018132203395571794,0.6041666666666666,-0.00240489943137275,0.5,48
中证申万医药生物指数,5,3. 状态+双Beta+交互项,2024,0.03082551114980947,0.5918367346938775,0.0006793270944866419,0.5510204081632653,49
中证申万医药生物指数,5,3. 状态+双Beta+交互项,2025,0.035827334929276776,0.5625,0.002688447243064328,0.5625,48
中证申万医药生物指数,5,3. 状态+双Beta+交互项,2026,0.06924401578154861,0.6,0.010360434058404852,0.56,25
中证申万医药生物指数,5,4. 交互项+残差动量+Beta变化,2023,0.07420899166371436,0.7083333333333334,0.0035349846531231234,0.5416666666666666,48
中证申万医药生物指数,5,4. 交互项+残差动量+Beta变化,2024,0.03254213620662417,0.5510204081632653,-0.0007842662610395573,0.5714285714285714,49
中证申万医药生物指数,5,4. 交互项+残差动量+Beta变化,2025,0.05550255745311556,0.5833333333333334,-0.0009110522347091713,0.5416666666666666,48
中证申万医药生物指数,5,4. 交互项+残差动量+Beta变化,2026,0.08008429686445206,0.72,0.01068107825513121,0.68,25
中证申万医药生物指数,20,1. 趋势基线,2023,0.007745165969234293,0.6666666666666666,0.004267591730745548,0.6666666666666666,12
中证申万医药生物指数,20,1. 趋势基线,2024,0.033621845563803786,0.4166666666666667,0.019721378919577707,0.3333333333333333,12
中证申万医药生物指数,20,1. 趋势基线,2025,0.0692270963827113,0.6666666666666666,-0.007022286125590596,0.4166666666666667,12
中证申万医药生物指数,20,1. 趋势基线,2026,0.02552004331322255,0.5,-0.0056132452147676605,0.3333333333333333,6
中证申万医药生物指数,20,2. 指数状态+双Beta,2023,0.03621293806544156,0.6666666666666666,-0.005373144679225196,0.5833333333333334,12
中证申万医药生物指数,20,2. 指数状态+双Beta,2024,0.07437863872616149,0.5,0.023328057578223926,0.5833333333333334,12
中证申万医药生物指数,20,2. 指数状态+双Beta,2025,0.017235317950864745,0.5,-0.0037760272675029876,0.5,12
中证申万医药生物指数,20,2. 指数状态+双Beta,2026,0.05202110854514697,0.6666666666666666,0.012514727454625313,0.6666666666666666,6
中证申万医药生物指数,20,3. 状态+双Beta+交互项,2023,0.04161916506190192,0.6666666666666666,-0.004622803806359842,0.5833333333333334,12
中证申万医药生物指数,20,3. 状态+双Beta+交互项,2024,0.019828370881628282,0.5,-0.006811762087065622,0.5,12
中证申万医药生物指数,20,3. 状态+双Beta+交互项,2025,-0.003690121983118915,0.4166666666666667,-0.015685161904816072,0.4166666666666667,12
中证申万医药生物指数,20,3. 状态+双Beta+交互项,2026,0.17579760563442218,0.8333333333333334,0.07085578649981972,0.8333333333333334,6
中证申万医药生物指数,20,4. 交互项+残差动量+Beta变化,2023,0.12836576405724012,0.75,0.016422153663265007,0.75,12
中证申万医药生物指数,20,4. 交互项+残差动量+Beta变化,2024,-0.020050744385837108,0.5,-0.0355991610055848,0.5,12
中证申万医药生物指数,20,4. 交互项+残差动量+Beta变化,2025,0.050303606654504784,0.5,0.00024121968865731272,0.5833333333333334,12
中证申万医药生物指数,20,4. 交互项+残差动量+Beta变化,2026,0.11085525854784413,0.8333333333333334,0.058402852868707396,0.8333333333333334,6
中证全指医药卫生ETF,5,4. 交互项+残差动量+Beta变化,2023,0.0740299073868504,0.7291666666666666,0.003639465886532852,0.5833333333333334,48
中证全指医药卫生ETF,5,4. 交互项+残差动量+Beta变化,2024,0.05284956793675856,0.5918367346938775,0.0005790666417483735,0.5102040816326531,49
中证全指医药卫生ETF,5,4. 交互项+残差动量+Beta变化,2025,0.046837913706831935,0.5833333333333334,-0.004145426846108668,0.4791666666666667,48
中证全指医药卫生ETF,5,4. 交互项+残差动量+Beta变化,2026,0.06820673076917108,0.6,0.001664863694792239,0.52,25
中证全指医药卫生ETF,20,4. 交互项+残差动量+Beta变化,2023,0.11826190255295414,0.75,0.011993906493297022,0.6666666666666666,12
中证全指医药卫生ETF,20,4. 交互项+残差动量+Beta变化,2024,-0.018758545080318687,0.5833333333333334,-0.025081447676168062,0.4166666666666667,12
中证全指医药卫生ETF,20,4. 交互项+残差动量+Beta变化,2025,-0.006743087462801827,0.5,-0.026422437686879876,0.25,12
中证全指医药卫生ETF,20,4. 交互项+残差动量+Beta变化,2026,0.1271385688659458,1.0,0.04025561746203998,0.8333333333333334,6
